Follow;Seguire
Senntisten Teleport Tablet;Tavoletta di teletrasporto Senntisten
Ward Upgrade Kit;Kit di potenziamento del reparto
Dark Bow Blue Paint;Vernice blu fiocco scuro
Ghorrock Teleport Tablet;Tavoletta di teletrasporto di Ghorrock
Frozen Whip Mix;Miscela di frusta congelata
Ornate Maul Handle;Manico decorato
Crystal Weapon Seed;Seme di arma di cristallo
Vesta's longsword (inactive);Spada lunga di Vesta (inattiva)
Tier 1 Cape;Mantello di livello 1
Blighted Teleport Spell Sack;Sacco di incantesimi di teletrasporto rovinato
Wilderness tablet;Tavoletta del deserto
Saradomin's Tear;La lacrima di Saradomin
Lava Staff Upgrade Kit;Kit di aggiornamento del bastone lavico
Golden Bandos Special;Speciale Bandos d'Oro
Tier 2 Cape;Mantello di livello 2
Bandos Halo;Bandos Halo
Rune Pouch Note;Nota sulla borsa delle rune
Looting Bag Note;Nota sul sacco del saccheggio
Ice Blitz;Blitz sul ghiaccio
Blighted Entangle Sack;Sacco Intralciante Rovinato
Deadman's Legs;Le gambe dell'uomo morto
Climbing Boots;Scarponi da arrampicata
Looting Bag;Borsa da saccheggio
Export;Esportare
<trans=127>Start cloud sync;<trans=127>Avvia la sincronizzazione cloud
<col=ff0000>Delete;<col=ff0000>Elimina
Set default;Imposta predefinito
Rename;Rinominare
Duplicate;Duplicato
Shadow Burst;Scoppio d'Ombra
Blood Burst;Scoppio di sangue
Ice Burst;Scoppio di ghiaccio
Shadow Rush;Corsa all'ombra
Blighted Vengeance Sacks;Sacchi della vendetta rovinati
Adamant Arrow;Freccia irremovibile
Release all placeholders (23);Rilascia tutti i segnaposto (23)
Rune Arrow;Freccia runica
Dragon Pickaxe Upgrade Kit;Kit di aggiornamento del piccone del drago
Swift Blade;Lama Rapida
Deadman's Chest;Il forziere morto
Trouver Parchment;Pergamena di Trouver
Sell: 1 x Zaryte vambraces;Vendo: 1 x parabraccia Zaryte
Sell: 1 x Crimson kisten;Vendo: 1 x bacio cremisi
Buy: 1 x Helm of neitiznot;Acquista: 1 x Elmo di Neitiznot
Buy: 1 x Super combat potion(4);Acquista: 1 x Pozione super da combattimento(4)
Last-destination (DJQ);Ultima destinazione (DJQ)
Last-destination (AJS);Ultima destinazione (AJS)
Last-destination (AIR);Ultima destinazione (AIR)
Pick-pocket;Borsaiolo
Buy: 100 x Blighted anglerfish;Acquista: 100 x Rana pescatrice rovinata
Heart;Cuore
Change icon (pets);Cambia icona (animali domestici)
Brincar com;Brincar com
Default quantity: 250;Quantità predefinita: 250
Reset-time;Tempo di ripristino
Create-book;Crea-libro
Buy: 1 x Beer;Acquista: 1 x birra
Continue-trek;Continua il trekking
Evade-event;Evento di evasione
Return-to-Paterdomus;Ritorno a Paterdomus
Swing-from;Swing-from
Return-to-Burgh;Ritorno a Burgh
Sell: 1 x Zamorak monk bottom;Vendo: 1 x fondo monaco Zamorak
Buy: 100 x Zamorak monk bottom;Acquista: 100 x Fondo monaco Zamorak
Poison Waste;Rifiuti Velenosi
Teleporte para o destino;Teletrasporto per il destino
Definir destino;Definire il destino
Copy Load-out;Copia caricamento
+5;+5
Default quantity: 700;Quantità predefinita: 700
Deposit-700;Deposito-700
Withdraw-700;Ritiro-700
View journal <col=ff981f>Fishing Contest</col>;Visualizza il diario <col=ff981f>Concorso di pesca</col>
View journal <col=ff981f>Witch's Potion</col>;Visualizza il diario <col=ff981f>Pozione della strega</col>
View journal <col=ff981f>Temple of the Eye</col>;Visualizza il diario <col=ff981f>Tempio dell'Occhio</col>
Ver Lista de Amigos;Vedi Lista degli amici
Descompacte;Decompattare
Pacote;Pacoté
Ver Lista de Ignorados;Vedi Lista degli ignoranti
Coletar-Item;Articolo Coletar
Coletar-Nota;Coletar-Nota
Trocar capa de fogo;Trocar capa de fogo
Release all placeholders (48);Rilascia tutti i segnaposto (48)
Withdraw-24;Ritiro-24
Deposit-24;Deposito-24
Armadyl Halo;Armadyl Halo
Select <col=ff9040>10 Tokens/Blighted ancient ice sack</col>;Seleziona <col=ff9040>10 gettoni/antico sacco di ghiaccio rovinato</col>
Select <col=ff9040>10 Tokens/Blighted karambwan</col>;Seleziona <col=ff9040>10 gettoni/Karambwan rovinato</col>
Select <col=ff9040>10 Tokens/Blighted teleport spell sack</col>;Seleziona <col=ff9040>10 gettoni/sacchetto di incantesimo di teletrasporto rovinato</col>
Select <col=ff9040>10 Tokens/Blighted anglerfish</col>;Seleziona <col=ff9040>10 gettoni/rana pescatrice rovinata</col>
Select <col=ff9040>10 Tokens/Blighted manta ray</col>;Seleziona <col=ff9040>10 gettoni/manta rovinata</col>
Select <col=ff9040>10 Tokens/Blighted vengeance sack</col>;Seleziona <col=ff9040>10 gettoni/sacco della vendetta rovinata</col>
Select <col=ff9040>250 Tokens/Ectoplasmator</col>;Seleziona <col=ff9040>250 gettoni/ectoplasmatore</col>
Default quantity: 24;Quantità predefinita: 24
Sell: 4 x Amulet of glory;Vendi: 4 x Amuleto della gloria
Toggle Effect;Attiva/disattiva effetto
Toggle Respawn;Attiva/disattiva la rigenerazione
Tie-rope;Corda
Brassica Halo;Brassica Halo
Rune Pouch;Custodia delle rune
Decorative Emblem;Emblema decorativo
Golden Armadyl Special;Speciale Armadyl dorato
Deadman's Cape;Il mantello dell'uomo morto
Seren Halo;Seren Halo
Adicionar<col=ff9040>;Aggiungi<col=ff9040>
Adicionar Todos;Aggiungi tutto
Withdraw-1300;Ritiro-1300
Default quantity: 1,300;Quantità predefinita: 1.300
Surrender;Resa
Deposit-184512;Deposito-184512
Withdraw-184512;Ritiro-184512
Red Rock;Roccia Rossa
Deposit-1300;Deposito-1300
Switch <col=ff8040>362</col>;Cambia <col=ff8040>362</col>
Join <col=ff8040>TzHaar Fight Pit</col> channel;Unisciti al canale <col=ff8040>TzHaar Fight Pit</col>
Teleport to <col=ff8040>TzHaar Fight Pit</col>;Teletrasportati alla <col=ff8040>Fossa di Lotta TzHaar</col>
Botﾃｭn;Bottone
Open-stomach;Stomaco aperto
Take-eggs;Prendi le uova
Buy: 1 x Iron platelegs;Acquista: 1 x gambe in ferro
Short fuse;Fusibile corto
Medium fuse;Fusibile medio
Long fuse;Fusibile lungo
Ancient Vault;Antica Volta
Attacker;Attaccante
Explosive egg;Uovo esplosivo
Tell-red;Tell-rosso
Defender;Difensore
Tell-green;Tell-verde
Level-up;Salire di livello
Take-Runes;Prendi-Rune
Poison egg;Uovo avvelenato
Medic;Medico
Tell-blue;Tell-blu
Take-Arrows;Prendi le frecce
Advanced;Avanzato
Stun egg;Stordire l'uovo
Omega egg;Uovo Omega
Collector;Collettore
Tell-accurate;Dillo-preciso
Tell-defensive;Tell-difensivo
Tell-aggressive;Tell-aggressivo
Tell-controlled;Tell-controllato
Sell: 100 x Dragon arrow(p++);Vendi: 100 frecce del drago (p++)
Fill-X;Riempi-X
Fill-All;Riempi tutto
Eat-from;Mangiare da
Healer;Guaritore
Call;Chiamata
Get-Spikes;Ottieni-Picchi
Dunk;Schiacciata
Tell-crackers;Cracker
Tell-tofu;Tell-tofu
Tell-worms;Vermi-testi
Fill potions;Riempi pozioni
Buy: 1 x Blood moon tassets;Acquista: 1 nappa Blood Moon
Buy: 1 x Crimson kisten;Acquista: 1 x bacio cremisi
Buy: 1 x Eye of ayak (uncharged);Acquista: 1 x Occhio di ayak (non caricato)
Withdraw-840000;Prelievo-840000
Custom quantity: 2,000;Quantità personalizzata: 2.000
Buy: 1 x Saradomin brew(4);Acquista: 1 x birra Saradomin(4)
Deposit-840000;Deposito-840000
Watson;Watson
Deposit potions;Deposita pozioni
Smoke Rush;Corsa al fumo
Target Teleport Scroll;Pergamena del teletrasporto bersaglio
Dark Bow Green Paint;Vernice verde fiocco scuro
Dark Bow White Paint;Vernice bianca fiocco scuro
Buy: 30 x Blighted super restore(4);Acquista: 30 x Super ripristino rovinato(4)
Buy: 1 x Rune platelegs;Acquista: 1 x piastre runiche
Buy: 60 x Blighted vengeance sack;Acquista: 60 x Sacco della vendetta rovinata
Default quantity: 400;Quantità predefinita: 400
Sell: 4,444 x Revenant ether;Vendi: 4.444 x Etere Revenant
Sell: 1 x Extended anti-venom+(2);Vendita: 1 x anti-veleno esteso+(2)
Release all placeholders (37);Rilascia tutti i segnaposto (37)
Sangvesti;Sangvesti
Sell: 1 x Adamant arrow;Vendo: 1 freccia Adamant
Sell: 1 x Adamant full helm;Vendo: 1 x Elmo completo Adamant
Release all placeholders (41);Rilascia tutti i segnaposto (41)
Release all placeholders (22);Rilascia tutti i segnaposto (22)
Release all placeholders (3);Rilascia tutti i segnaposto (3)
Release all placeholders (31);Rilascia tutti i segnaposto (31)
Release all placeholders (5);Rilascia tutti i segnaposto (5)
Deposit-99000;Deposito-99000
Withdraw-99000;Prelievo-99000
Default quantity: 99,000;Quantità predefinita: 99.000
DIQ;DIQ
Deposit-1600;Deposito-1600
Withdraw-1600;Ritiro-1600
Deposit-450;Deposito-450
Withdraw-450;Ritiro-450
Sell: 33 x Bronze full helm;Vendita: 33 x Elmo completo in bronzo
Charter-to Sunset Coast;Charter-a Sunset Coast
Bottle-boat;Barca-bottiglia
Tell-meat;Carne raccontata
Default quantity: 450;Quantità predefinita: 450
Release all placeholders (11);Rilascia tutti i segnaposto (11)
Release all placeholders (28);Rilascia tutti i segnaposto (28)
Sell: 107 x Stymphike feather;Vendita: 107 x Piume di Stymphike
Buy: 1 x Bronze platebody;Acquista: 1 x platebody in bronzo
Sell: 1 x Bronze kiteshield;Vendo: 1 x scudo da aquilone in bronzo
Buy: 8 x Tuna;Acquista: 8 x Tonno
Deposit-744;Deposito-744
Withdraw-744;Ritiro-744
Default quantity: 744;Quantità predefinita: 744
Accept challenge;Accetta la sfida
1 Def Pure;1 Sicuramente puro
Buy: 10 x Willow longbow;Acquista: 10 archi lunghi in salice
Buy: 10 x Oak longbow;Acquista: 10 archi lunghi in quercia
Sell: 9 x Banana;Vendi: 9 banane
Sell: 162 x Banana;Vendi: 162 x banane
Buy: 100 x Willow longbow;Acquista: 100 archi lunghi in salice
Sell: 10 x Bronze scimitar;Vendi: 10 x Scimitarra di bronzo
Deposit-11;Deposito-11
Sell: 318 x Cowhide;Vendita: 318 x Pelle bovina
Buy: 200 x Bronze bar;Acquista: 200 x Lingotti di Bronzo
Select <col=ff9040>Blighted anglerfish</col>;Seleziona <col=ff9040>Rana pescatrice rovinata</col>
Sell: 1 x Torva full helm (damaged);Vendo: 1 x elmo completo Torva (danneggiato)
Buy: 200 x Coal;Acquista: 200 x Carbone
Sell: 304 x Steel bar;Vendita: 304 x Barra d'acciaio
Withdraw-136;Ritiro-136
Deposit-99999;Deposito-99999
Withdraw-99999;Ritiro-99999
Balance-across;Equilibrio trasversale
Buy: 250 x Iron ore;Acquista: 250 x Minerale di ferro
Default quantity: 136;Quantità predefinita: 136
Deposit-136;Deposito-136
Sell: 499 x Steel bar;Vendita: 499 x Barra d'acciaio
Buy: 1,200 x Coal;Acquista: 1.200 x Carbone
9;9 
Fill-1;Riempi-1
Fill-5;Riempi-5
Buy: 1 x Redberries;Acquista: 1 x mirtilli rossi
Buy: 1 x Soft clay;Acquista: 1 x Argilla morbida
Withdraw-125000000;Ritiro-125000000
Default quantity: 740,000;Quantità predefinita: 740.000
Deposit-740000;Deposito-740000
Withdraw-740000;Prelievo-740000
View Magic on the Wiki;Visualizza Magic sul Wiki
Donate;Donare
Donate-All;Dona-tutto
Donate-X;Dona-X
Donate-10;Dona-10
Donate-5;Dona-5
Travel-Start;Inizio del viaggio
Travel-End;Fine del viaggio
Sell: 12 x Oak shortbow (u);Vendita: 12 x Arco corto in quercia (u)
Trade-General-Store;Commercio-General-Magazzino
Trade-Builders-Store;Trade-Builders-Store
Withdraw-17;Ritiro-17
Buy: 1 x Hueycoatl hide armour set;Acquista: 1 set di armature in pelle Hueycoatl
Withdraw-5250;Prelievo-5250
Deposit-5250;Deposito-5250
Default quantity: 5,250;Quantità predefinita: 5.250
Check rank;Controlla il grado
Check Rank;Controlla la classifica
Default quantity: 99,999;Quantità predefinita: 99.999
Set legs slot to;Impostare lo slot delle gambe su
Set head slot to;Imposta lo slot della testa su
Set torso slot to;Imposta lo slot del torso su
Set amulet slot to;Imposta lo slot dell'amuleto su
Set boots slot to;Imposta lo slot degli stivali su
Set hands slot to;Imposta lo slot per le mani su
Set cape slot to;Imposta lo slot del mantello su
Sell: 32 x Air orb;Vendi: 32 x sfere d'aria
Buy: 400 x Wine of zamorak;Acquista: 400 x Vino di zamorak
Charter-to Aldarin;Carta-ad Aldarin
Release all placeholders (10);Rilascia tutti i segnaposto (10)
Last-destination (CLP);Ultima destinazione (CLP)
Buy: 2,120 x Air rune;Acquista: 2.120 x Runa dell'Aria
Select <col=ff981f>Infinity boots;Seleziona <col=ff981f>Stivali Infinity
Examine <col=ff981f>Infinity boots;Esamina gli <col=ff981f>stivali Infinity
Withdraw-565;Ritiro-565
Deposit-565;Deposito-565
Withdraw-410;Ritiro-410
Take-cutting;Taglio della presa
Release-all;Rilascia tutto
Sell: 204 x Leather;Vendi: 204 x Pelle
Chant;Canto
Buy: 1 x Eclipse moon armour set;Acquista: 1 set di armature lunari Eclipse
Buy: 1 x Rune full helm;Acquista: 1 x Elmo completo runico
Withdraw-32000;Prelievo-32000
Deposit-32000;Deposito-32000
Default quantity: 32,000;Quantità predefinita: 32.000
Pelt;Pelle
Prepare-fish;Preparare il pesce
Withdraw-3200;Ritiro-3200
Deposit-36200;Deposito-36200
Withdraw-36200;Prelievo-36200
Deposit-3200;Deposito-3200
+10%;+10%
-10%;-10%
Buy: 100 x Prayer potion(4);Acquista: 100 x Pozione di preghiera(4)
Buy: 1 x Pot of flour;Acquista: 1 x vasetto di farina
Step-off;Scendere
Smash-ice;Spaccaghiaccio
Buy: 1 x Mage's book;Acquista: 1 libro del mago
Walk-to;Cammina verso
Press;Premere
Dismantle kit;Kit di smontaggio
Stand-on;Stai in piedi
Get-down;Scendi
Throw-at;Lancio
Open (private);Aperto (privato)
Open (normal);Aperto (normale)
Travel to<col=ff9040> Tree Gnome Village;Raggiungi <col=ff9040> ​​Villaggio degli Gnomi degli Alberi
Travel to<col=ff9040> The Clocktower;Viaggia verso<col=ff9040> ​​La Torre dell'Orologio
Buy: 1 x Orange dye;Acquista: 1 x colorante arancione
Buy: 1 x Goblin mail;Acquista: 1 cotta Goblin
Buy: 1 x Twisted trousers (t1);Acquista: 1 x Pantaloni intrecciati (t1)
Push-against;Spingere contro
Exit-through;Uscita attraverso
Set shield slot to;Imposta lo slot dello scudo su
Set weapon slot to;Imposta lo slot dell'arma su
Release all placeholders (53);Rilascia tutti i segnaposto (53)
Withdraw-2147483647;Ritiro-2147483647
Default quantity: 2,147,483,647;Quantità predefinita: 2.147.483.647
Deposit-2147483647;Deposito-2147483647
Travel to<col=ff9040> Tree Gnome Stronghold;Raggiungi <col=ff9040> ​​Fortezza degli Gnomi degli Alberi
Travel to<col=ff9040> Chaos Druid Tower;Raggiungi <col=ff9040> ​​Torre dei Druidi del Caos
Make <col=ff9040>Sapphire bracelet</col>;Realizza <col=ff9040>braccialetto con zaffiri</col>
Botín;Botin
Withdraw-36000;Prelievo-36000
Deposit-36000;Deposito-36000
Sell: 1 x Necklace of anguish;Vendo: 1 x Collana dell'angoscia
AKQ;AKQ
DKS;DKS
CJQ;CJQ
Buy: 1 x Snakeskin boots;Acquista: 1 x stivali in pelle di serpente
Buy: 1 x Rune kiteshield;Acquista: 1 x Scudo aquilone runico
Teleport to <col=ff8040>Last Man Standing</col>;Teletrasportati all'<col=ff8040>Ultimo uomo rimasto</col>
Join <col=ff8040>Last Man Standing</col> channel;Unisciti al canale <col=ff8040>Last Man Standing</col>
Golden Zamorak Special;Speciale Zamorak d'oro
Deposit-7680;Deposito-7680
Withdraw-7680;Ritiro-7680
Default quantity: 7,680;Quantità predefinita: 7.680
Volcanic Whip Mix;Miscela di frusta vulcanica
Sell: 3 x Crystal key;Vendita: 3 chiavi di cristallo
Sell: 33 x Crystal key;Vendita: 33 chiavi di cristallo
Buy: 23 x Loop half of key;Acquista: 23 x Mezza chiave ad anello
LatamDark;LatamDark
Wipe title;Cancella titolo
Expel;Espellere
Resignation;Dimissioni
Emote;Emozione
Sing;Cantare
Change icon (armaduras);Cambia icona (armature)
Sell: 1,090 x Steel cannonball;Vendi: 1.090 x Palle di cannone in acciaio
Buy: 100 x Blighted vengeance sack;Acquista: 100 x Sacco della vendetta rovinata
Select <col=ff981f>Dust rune;Seleziona <col=ff981f>Runa della polvere
Examine <col=ff981f>Dust rune;Esamina <col=ff981f>Runa della polvere
Select <col=ff981f>Chaos rune;Seleziona <col=ff981f>Runa del caos
Examine <col=ff981f>Chaos rune;Esamina la <col=ff981f>runa del caos
Release all placeholders (8);Rilascia tutti i segnaposto (8)
Teleport to <col=ff8040>Mage Training Arena</col>;Teletrasportati all'<col=ff8040>Arena di addestramento dei maghi</col>
Join <col=ff8040>Mage Training Arena</col> channel;Unisciti al canale <col=ff8040>Arena di addestramento dei maghi</col>
Default quantity: 300,000;Quantità predefinita: 300.000
Wyrmscraig;Wyrmscraig
Simple;Semplice
Withdraw-3600;Ritiro-3600
Buy: 1 x Old school bond;Acquista: 1 x Obbligazione vecchia scuola
Deposit-70000;Deposito-70000
Withdraw-70000;Prelievo-70000
<col=00afff>Resume autochat</col>;<col=00afff>Riprendi la chat automatica</col>
<col=00afff>Pause autochat</col>;<col=00afff>Metti in pausa la chat automatica</col>
Look-through;Guarda attraverso
PK broadcast value;Valore di trasmissione PK
Combat Achievement task threshold;Soglia dell'attività di conseguimento del combattimento
PK broadcasts;Trasmissioni PK
Player defeat broadcasts;Trasmissioni di sconfitte dei giocatori
Loot key broadcasts;Saccheggia le trasmissioni chiave
Broadcasts from main world only;Trasmissioni solo dal mondo principale
Joining/Leaving clan;Unirsi/lasciare il clan
Achievement diary broadcasts;Trasmissioni del diario dei risultati
Collection log broadcasts;Trasmissioni del registro della raccolta
Level-up increments of 10;Incrementi di livello di 10
Loot key broadcast value;Saccheggia il valore di trasmissione della chiave
Level-up increments of 1;Incrementi di livello di 1
Hardcore death broadcasts;Trasmissioni di morte hardcore
Level-up increments of 5;Incrementi di livello di 5
Level-up broadcasts;Trasmissioni di livello superiore
Quest broadcasts;Trasmissioni di missioni
Personal best broadcasts;Migliori trasmissioni personali
Buy: 14,546 x Death rune;Acquista: 14.546 x Runa della morte
Sell: 6,000 x Blood rune;Vendi: 6.000 x Runa del sangue
Buy: 10,000 x Death rune;Acquista: 10.000 rune della morte
Sell: 1 x Chaos rune;Vendi: 1 runa del caos
Sell: 1 x Guthix coif;Vendo: 1 cuffia Guthix
Deposit-240;Deposito-240
Withdraw-240;Ritiro-240
Withdraw-121;Ritiro-121
Deposit-121;Deposito-121
Sell: 1 x Looting bag note;Vendita: 1 x Nota sulla borsa del saccheggio
Burn-down;Bruciare
Distract;Distrarre
Default quantity: 2,500;Quantità predefinita: 2.500
Sell: 30 x Iron ore;Vendi: 30 x Minerale di ferro
Withdraw-1050;Ritiro-1050
Withdraw-999;Ritiro-999
Buy: 1 x Bloodbark legs;Acquista: 1 x gambe di Bloodbark
Deposit-999;Deposito-999
View <col=ff9040>Gauntlet Map</col>;Visualizza la <col=ff9040>Mappa del guanto</col>
Pedal;Pedale
Buy: 8 x Split log;Acquista: 8 tronchi spaccati
Échanger avec;Scambiatore con
Withdraw-12500;Prelievo-12500
Deposit-12500;Deposito-12500
Deposit-28;Deposito-28
Buy: 400 x Aether rune;Acquista: 400 rune eteree
Shape-Water;Forma-Acqua
Shape-Air;Forma-Aria
Shape-Earth;Forma-Terra
Shape-Fire;Fuoco di forma
Move Fragment Right;Sposta il frammento a destra
Move Fragment Down;Sposta il frammento verso il basso
Select Fragment 3;Seleziona il frammento 3
Select Fragment 2;Seleziona Frammento 2
Select Fragment 1;Seleziona il frammento 1
Flip Fragment Over;Capovolgi il frammento
Move Fragment Up;Sposta il frammento in alto
Rotate the Fragment;Ruota il frammento
Move Fragment Left;Sposta il frammento a sinistra
Shape-Mind;Forma-Mente
Withdraw-25000;Prelievo-25000
Deposit-25000;Deposito-25000
Withdraw-719;Ritiro-719
Deposit-719;Deposito-719
Charter-to Corsair Cove;Charter per Corsair Cove
Deposit-344;Deposito-344
Withdraw-344;Ritiro-344
Withdraw-977;Ritiro-977
Default quantity: 977;Quantità predefinita: 977
Deposit-977;Deposito-977
Withdraw-175000000;Ritiro-175000000
Default quantity: 175,000,000;Quantità predefinita: 175.000.000
Restore <col=ff9040>Minimap</col>;Ripristina <col=ff9040>Minimappa</col>
Default quantity: 28;Quantità predefinita: 28
Enter-cloud;Entra nel cloud
Last-destination (DIR);Ultima destinazione (DIR)
Submit;Invia
Deposit-175000000;Deposito-175000000
Buy: 1 x Water tiara;Acquista: 1 x tiara d'acqua
Deposit-130;Deposito-130
Withdraw-130;Ritiro-130
Examine <col=ff981f>Mist rune;Esamina la <col=ff981f>Runa della nebbia
Select <col=ff981f>Mist rune;Seleziona <col=ff981f>Runa della nebbia
Sell: 100 x Cowhide;Vendi: 100 x Pelle bovina
Sell: 1 x Bronze dagger;Vendo: 1 x pugnale di bronzo
Buy: 1 x Rune pickaxe;Acquista: 1 piccone runico
Withdraw-2121212121;Ritiro-2121212121
Deposit-2121212121;Deposito-2121212121
Default quantity: 2,121,212,121;Quantità predefinita: 2.121.212.121
Sell: 41 x Big bones;Vendita: 41 x Ossa grandi
Go-up;Vai su
Buy: 1 x Swampbark armour set;Acquista: 1 set di armature di corteccia di palude
Withdraw-106500;Prelievo-106500
Deposit-106500;Deposito-106500
Default quantity: 106,500;Quantità predefinita: 106.500
Buy: 100 x Anchovy pizza;Acquista: 100 x Pizza alle acciughe
Buy: 1 x Snakeskin bandana;Acquista: 1 bandana in pelle di serpente
Buy: 100 x Blighted karambwan;Acquista: 100 x Karambwan rovinato
